receiverUserID,utcTimestamp,id,userID,type,giftID,point,timestamp,isCanceled,migration,recordID,recordPoint,tradeID
3147a819-60c8-4ff5-a86d-ae79cc5b42b1,2020-06-17 01:38:51 UTC,514041916,14cb36b0-7893-4941-82d0-8d31ca81627a,purchaseGift,arpk,149,1592357931,0,3,,0,1dQWjP8jiG0d0zUqyHMDSTYLLMV
b9d3db16-e562-4a55-8499-b704dbf93f8d,2020-06-17 02:26:13 UTC,514054859,455729a3-ede1-44c0-8125-5244e1fe8500,purchaseGift,arpk,149,1592360773,0,3,,0,1dQcUW585TGDPZVjcEDqeLX0qKd
51c7ed62-0bf0-4599-ace0-17185afc088d,2020-06-17 02:46:14 UTC,514060535,f65a59ea-2401-40bd-b27e-1b0b28bb81f8,purchaseGift,arpk,149,1592361974,0,3,,0,1dQevSFDswFzRxNuHrVMwV5Azkd
51c7ed62-0bf0-4599-ace0-17185afc088d,2020-06-17 02:46:15 UTC,514060548,f65a59ea-2401-40bd-b27e-1b0b28bb81f8,purchaseGift,arpk,149,1592361975,0,3,,0,1dQevajyJCdxw8zNpObByNn3sOu
ed717b67-075f-4d22-8ff6-3cc267e91245,2020-06-17 03:46:39 UTC,514086906,02ce06ad-663c-4160-b300-4c50d56dc7eb,purchaseGift,arpk,149,1592365599,0,3,,0,1dQmH4uWrVAyr7lTcc4BNUJ2i0c
01ccb26b-9af4-47d8-8384-42b3e15c1249,2020-06-17 05:03:38 UTC,514114805,d9f19323-3e5a-4c84-904e-93a669a922c4,purchaseGift,arpk,149,1592370218,0,3,,0,1dQvdX5mIoRYhp47nLwMNdOj7KZ
ca108344-4079-4c07-bb18-1b5bca870b1e,2020-06-17 05:22:13 UTC,514120467,4a2dcde2-3f0a-4b68-811b-ba7102057487,purchaseGift,arpk,149,1592371333,0,3,,0,1dQxtbHgQ1PkvzfHDgbJ2mTL8gG
6cd90016-b679-4a7b-8cc6-2c43d4590cca,2020-06-17 05:57:41 UTC,514131239,dd6d61a4-c78e-485d-9912-0abfb8351314,purchaseGift,arpk,149,1592373461,0,3,,0,1dR2CzyJz8pxvoDjWPVHATxbLMV
63a8b9eb-c4a6-4ff6-8aaa-5f4c6f6fd4d7,2020-06-17 19:50:19 UTC,514802667,df857ef6-4ab5-4f01-b823-5650eeb17b33,purchaseGift,arpk,149,1592423419,0,3,,0,1dSfT5Os0GIac85ZvxNrmRnoBop
c81ce3ee-1ff6-46fc-90e1-843d9a744293,2020-06-17 01:45:32 UTC,514043834,f40d3341-6174-4ad6-9faf-1d61f895cb80,purchaseGift,arpk,149,1592358332,0,3,,0,1dQXXl60JK81Hm5QV2YbBnvafrT
d3888de8-b499-4afc-bf1e-14ccf2f7b9bd,2020-06-17 03:02:17 UTC,514065230,d1a4b26e-3223-4f9d-98ec-d4427f368639,purchaseGift,arpk,149,1592362937,0,3,,0,1dQgsYSqNhuQWOjVFrJJzlhePP4
d57bed36-aefb-4b5b-9509-6e0429319583,2020-06-17 03:45:51 UTC,514086607,e3bc6093-638e-40f9-bd76-0f756e9724aa,purchaseGift,arpk,149,1592365551,0,3,,0,1dQmAz2olG5x3NEx8UrLXut4iby
a26f1304-860b-47d1-a81a-f84989f3a261,2020-06-17 19:56:31 UTC,514803751,de35fbfc-a774-4655-9148-01dcc28f92dd,purchaseGift,arpk,149,1592423791,0,3,,0,1dSgDvCgHlrsqpdOksAGjxVykgi
ed23af8b-f2a7-4e89-a655-16e595a5f1d3,2020-06-17 00:16:47 UTC,514020645,eef2ecea-e05b-4ece-a4e0-d7581bfef6c1,purchaseGift,arpk,149,1592353007,0,3,,0,1dQMkeDirAWw0seUgKEJfgiSWr0
2e577543-a25d-48df-a536-7f4b02f1aa8f,2020-06-17 03:01:48 UTC,514065044,4282be81-4d3e-4dcd-af66-0be57f22f0cd,purchaseGift,arpk,149,1592362908,0,3,,0,1dQgouLZ0EOsv2nZBdY0B6z96qk
2e577543-a25d-48df-a536-7f4b02f1aa8f,2020-06-17 03:01:48 UTC,514065049,4282be81-4d3e-4dcd-af66-0be57f22f0cd,purchaseGift,arpk,149,1592362908,0,3,,0,1dQgouzoAzy4RbT8Q1zuWjAODWV
2e577543-a25d-48df-a536-7f4b02f1aa8f,2020-06-17 03:01:49 UTC,514065052,4282be81-4d3e-4dcd-af66-0be57f22f0cd,purchaseGift,arpk,149,1592362909,0,3,,0,1dQgoyrAqVFXGmE6GON7bS53Of2
